eva,country,crew,vehicle,date,duration,purpose
1.0,USA,Ed White;,Gemini IV,1965-06-03,0:36,First U.S. EVA. Used HHMU and took  photos.  Gas flow cooling of 25ft umbilical overwhelmed by vehicle ingress work and helmet fogged.  Lost overglove.  Jettisoned thermal gloves and helmet sun visor
3.0,USA,Eugene Cernan;,Gemini IX-A,1966-06-05,2:07,"Inadequate restraints, stiff 25ft umbilical and high workloads exceeded suit vent loop cooling capacity and caused fogging.  Demo called off of tethered astronaut maneuvering unit"
4.0,USA,Mike Collins;,Gemini X,1966-07-19,0:50,Standup EVA.  UV photos of stars.  Ended by eye irritation that impaired vision 
5.0,USA,Mike Collins;,Gemini X,1966-07-20,0:39,Retrieved MMOD experiment from docked Agena.  Used HHMU. Lost camera and retrieved experiment. EVA ended early by unrelated spacecraft problem
6.0,USA,Richard Gordon;,Gemini XI,1966-09-13,0:44,"Attached tether between Agena and Gemini.  EVA ended early due to fatigue, overheating & eye sweat"
7.0,USA,Richard Gordon;,Gemini XI,1966-09-14,2:10,Standup EVA.  Took star photos. Agena tether ops
8.0,USA,Buzz Aldrin;,Gemini XII,1966-11-12,2:29,Standup EVA.  Science tasks.  Took star photos
9.0,USA,Buzz Aldrin;,Gemini XII,1966-11-13,2:06,Attached tether between Agena and Gemini.  UV photos of stars.  Waist tether and Dutch shoe eval
10.0,USA,Buzz Aldrin;,Gemini XII,1966-11-14,0:55,Standup EVA.  Jettisoned equipment.  Took photos
11.0,USA,David Scott;,Apollo 9,1969-03-06,0:47,Standup EVA from crew module.  Retrieved thermal experiment samples
12.0,USA,Russ Schweickart;,Apollo 9,1969-03-06,0:51,Lunar module based.  Took photos.  Evaluated foot restraint and handrails.  Retrieved thermal experiment samples.  First use of PLSS followed by recharge demo after EVA
13.0,USA,Neil Armstrong;Buzz Aldrin;,Apollo 11,1969-07-20,2:32,First to walk on the moon.  Some trouble getting out small hatch.  46.3 lb of geologic material collected.  EASEP seismograph and laser reflector exp deployed.  Solar wind exp deployed & retrieved.  400 ft (120m) circuit on foot.  Dust issue post EVA
14.0,USA,Neil Armstrong;Buzz Aldrin;,Apollo 11,1969-07-20,0:05,Jettison suit backpacks and equip to lighten ascent
15.0,USA,Allen Bean;Pete Conrad;,Apollo 12,1969-11-19,3:39,Collected 75.6 lb of geologic material.  ALSEP exp deployed.  6000 ft (1800m) circuit on foot
16.0,USA,Allen Bean;Pete Conrad;,Apollo 12,1969-11-20,3:48,Retrieved parts of Surveyor 3 spacecraft.   
17.0,USA,Allen Bean;Pete Conrad;,Apollo 12,1969-11-20,0:05,Jettison suit backpacks and equip to lighten ascent
18.0,USA,Ed Mitchell;Alan Shepard;,Apollo 14,1971-02-05,4:48,Collected 94.4 lb of geologic material.  ALSEP and laser reflector exp deployed.  Hiked up to 0.9 miles (1.5km) from lunar module.  Used MET rickshaw
19.0,USA,Ed Mitchell;Alan Shepard;,Apollo 14,1971-02-06,4:34,Sought but did not quite reach crater.  Golf demo
20.0,USA,Ed Mitchell;Alan Shepard;,Apollo 14,1971-02-06,0:05,Jettison suit backpacks and equip to lighten ascent
21.0,USA,David Scott;,Apollo 15,1971-07-30,0:33,Standup EVA to scout and photograph lunar surface before traverse
22.0,USA,David Scott;James Irwin;,Apollo 15,1971-07-31,6:34,Collected 169 lb of geologic material.  ALSEP exp deployed.  First use of the lunar rover.  Covered 6.2 mile (10.3 km) circuit
23.0,USA,David Scott;James Irwin;,Apollo 15,1971-08-01,7:12,
24.0,USA,David Scott;James Irwin;,Apollo 15,1971-08-02,4:49,
25.0,USA,David Scott;James Irwin;,Apollo 15,1971-08-02,0:05,Jettison suit backpacks and equip to lighten ascent
26.0,USA,Al Worden;,Apollo 15,1971-08-05,0:39,First transearth EVA.  Retrieved 2 camera film cassettes
27.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-21,7:11,Collected 208 lb of rock/dust (41lb this day). ALSEP & solar wind experiments deployed. Assembled and used lunar rover (4.2 km).  
28.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-22,7:23,Collected 82 lb of rock/dust. Drove rover 11.5 km
29.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-23,5:40,Collected 90 lb of rock/dust.  Drove rover 27.1 km
30.0,USA,John Young;Charles Duke;,Apollo 16,1972-04-23,0:04,Jettison suit backpacks and equip to lighten ascent
31.0,USA,Tom Mattingly;,Apollo 16,1972-04-25,1:23,Transearth EVA to retrieve camera film and expose microbial response experiment
32.0,USA,Harrison Schmidt;Eugene Cernan;;,Apollo 17,1972-12-11,7:12,Collected 243 lb of geologic material.  ALSEP exp deployed.   8 seismic explosive charges placed for later use.  Used lunar rover to travel 11.4 miles (19 km) circuit with max range of 4.9 miles from lunar module.
33.0,USA,Harrison Schmidt;Eugene Cernan;;,Apollo 17,1972-12-12,7:37,
34.0,USA,Harrison Schmidt;Eugene Cernan;;,Apollo 17,1972-12-13,7:16,
35.0,USA,Harrison Schmidt;Eugene Cernan;;,Apollo 17,1972-12-13,0:08,Jettison suit backpacks and equip to lighten ascent
36.0,USA,Ron Evans;,Apollo 17,1972-12-17,1:07,Transearth EVA to retrieve camera film
37.0,USA,Paul Weitz;Joe Kerwin;,Skylab 2,1973-05-25,0:40,"Standup EVA.  While based in hatch of just arrived hovering spacecraft, failed to pull/pry free solar panel held by cm wide scrap of MMOD shield"
38.0,USA,Pete Conrad;Joe Kerwin;,Skylab 2,1973-06-07,3:25,"Without body restraint, initially unable to attach 25ft pole/cutter jaws to aluminum scrap holding jammed solar panel.  Improvised body restraint with suit tether to unexpected vehicle U bolt for 3 pt stance to enable pole positioning and cut.  After debris cut, attached pole as translation path to solar array.  Rope hooked between airlock solar array cover structure as means to overcome frozen hydraulic damper of solar array hinge.  Both crew stood under rope and pushed until array freed suddenly which caused both crew to drift free until hauled themselves back in via umbilicals.  Hardest task was restowing umbilicals into stow sphere at end of day"
39.0,USA,Pete Conrad;Paul Weitz;,Skylab 2,1973-06-19,1:36,Retrieved Apollo Telescope Mount film and repaired power module relay with hammer blow.  Cleaned camera lens
40.0,USA,Owen Garriott;Jack Lousma;,Skylab 3,1973-08-06,6:31,Constructed/deployed twin-pole thermal shield to reduce internal spacecraft temperatures.  Loaded telescope camera with film.  Inspected previously leaking thrusters.  Restored telescope door motion and deployed meteroid sampling exp
41.0,USA,Owen Garriott;Jack Lousma;,Skylab 3,1973-08-24,4:31,Installed cable for backup gyro package.  Exchanged telescope camera film.  Deployed parasol samples
42.0,USA,Owen Garriott;Allen Bean;,Skylab 3,1973-09-22,2:41,"Recovered telescope camera film, material samples and meteroid exp.  Cleaned camera lens"
43.0,USA,Ed Gibson;Bill Pogue;,Skylab 4,1973-11-22,6:33,Photographed earth atmosphere.  Deployed spacecraft contamination measurement exp.  Reloaded telescope camera film.  Repaired microwave sensor antenna.  Pinned open telescope door.  Retrieved meteroid sample collector
44.0,USA,Gerald Carr;Bill Pogue;,Skylab 4,1973-12-25,7:01,"Photographed comet Kohoutek, reloaded telescope camera film, pinned open failed solar UV exp door.  Installed solar UV/X-Ray camera.  Repositioned jammed filter wheel in x-ray telescope"
45.0,USA,Gerald Carr;Ed Gibson;,Skylab 4,1973-12-29,3:29,Photographed comet Kohoutek.  Retrieved sample of meteroid protection cover
46.0,USA,Gerald Carr;Ed Gibson;,Skylab 4,1974-02-03,5:19,Retrieved telescope camera film and installed meteroid collection experiment. Gibson reported coolant leakage from EVA life support system
,USA,Bill Lenoir;Joe Allen;,STS-5,1982-11-14,0:00,Suit fan and O2 regulator failures prevented first Shuttle EVA.  No spare suit onboard
47.0,USA,Story Musgrave;Don Peterson;,STS-6,1983-04-07,4:17,First shuttle EVA.  New suits tested.  Basic orbiter/payload contingency tasks practiced.  Winch failed to retract
48.0,USA,Bob Stewart;Bruce McCandless;,STS-41B,1984-02-07,5:56,Practiced Solar Max repair. Used MMU and MFR for first time.  PLB camera D changed out.  Slidewire bracket pip-pin pulled free by crew tether inadvertantly.  SPAS switch adjusted
49.0,USA,Bob Stewart;Bruce McCandless;,STS-41B,1984-02-09,6:09,Practiced MMU docking with fixed target.  Simple satellite refueling demo (freon).  Foot restraint lost overboard and recovered.  
50.0,USA,James Van Hoften;George Nelson;,STS-41C,1984-04-08,2:53,Failed to dock MMU to Solar Max satellite due to thermal grommet interference.  Manual grasp of solar array increased satellite instability 
51.0,USA,James Van Hoften;George Nelson;,STS-41C,1984-04-11,7:05,"After ground cmd stabilization and RMS grapple, Solar Max repaired (attitude control and main elec boxes replaced, MEB not designed for replacement).  Small trash bag lost due to inadvertment release of MWS lock.  MMU engineering test performed"
52.0,USA,Dave Leestma;Kathy Sullivan;,STS-41G,1984-10-11,3:29,First U.S. female EVA.  Demonstrated hydrazine refueling.  Aligned gimbals of Ku antenna  for IV commanded locking.  SIRB latching assisted.  Recovered lost airlock valve cap.  
53.0,USA,Joe Allen;Dale Gardner;,STS-51A,1984-11-12,6:02,PALAPA retrieval.  MMU used.  Had to use manual satellite restraint when structure with RMS grapple fixture failed to attach due to unexpected structure on satellite.
54.0,USA,Joe Allen;Dale Gardner;,STS-51A,1984-11-14,5:48,WESTAR retrieval.  MMU used.  Recovered untethered torque wrench (twice) and draeger tube (once).  Lost power tool
55.0,USA,Dave Griggs;Jeff Hoffman;,STS-51D,1985-04-16,3:10,"""Flyswatter"" attached to end of RMS to attempt to activate LEASAT/SYNCOM IV sequence start lever.  Lever tripped but satellite was actually failed elsewhere.  Griggs inadvertently went out over wing"
56.0,USA,James Van Hoften;Bill Fisher;,STS-51I,1985-08-31,7:09,LEASAT/SYNCOM IV repairs started.  RMS failure to single joint mode forced second EVA.  Lost power tool overboard.
57.0,USA,James Van Hoften;Bill Fisher;,STS-51I,1985-09-01,4:29,LEASAT/SYNCOM IV repairs completed.  Accidently reused depleted LiOH cans from 1st EVA.
58.0,USA,Jerry Ross;Woody Spring;,STS-61B,1985-11-29,5:38,EASE/ACCESS truss assembly and stowage demos.  Deployed radar target
59.0,USA,Jerry Ross;Woody Spring;,STS-61B,1985-12-01,6:48,"EASE/ACCESS truss assembly, stowage and handling demos.  Simulated cable routing with rope reel and heat pipe handling with free EASE beams."
,USA,Bruce McCandless;Kathy Sullivan;,STS-31,1990-04-24,0:00,In suits in airlock at 5psi awaiting GO to manually deploy stuck solar array.  Waived off when auto sys worked
60.0,USA,Jerry Ross;Jay Apt;,STS-37,1991-04-07,4:26,"Freed stuck GRO high gain antenna. Started Space Station demos (recorded crew loads, variable tension rope translation, dogbone handrails)."
61.0,USA,Jerry Ross;Jay Apt;,STS-37,1991-04-08,6:00,"More Space Station demos (evals of 3 different carts and a tether shuttle, RMS translation rates and loads).  Time short for all RMS/EVA tests"
62.0,USA,Pierre Thuot;Rick Hieb;,STS-49,1992-05-10,3:43,Capture bar/grapple fixture attach failed 3 times
63.0,USA,Pierre Thuot;Rick Hieb;,STS-49,1992-05-11,5:30,"Though more careful to induce less loads, capture bar/grapple fixture attach failed 5 times"
64.0,USA,Thuot;Hieb;Akers;,STS-49,1992-05-13,8:29,3 man EVA.  Manually capture/repair INTELSAT
65.0,USA,Tom Akers;Kathy Thornton;,STS-49,1992-05-14,7:44,"ASEM Space Station assembly demos (module to truss mating, updated HHMU self rescue device).  Aligned gimbals of Ku antenna for IV commanded locking "
66.0,USA,Greg Harbaugh;Mario Runco;,STS-54,1993-01-17,4:28,Evaluate training vs. flight differences (DTO 1210).   Encumbered translations.  Foot restraint ingress.  Inspected/avoided misfired IUS tilt table superzip.  Almost lost untethered IUS tilt table equipment.
67.0,USA,David Low;Jeff Wisoff;,STS-57,1993-06-25,5:50,"First egress/ingress involving tunnel adapter.  Pushed on 2 EURECA antennas to aid stowage.  Evaluated training vs. flight differences (DTO 1210, large mass handling from RMS, high torque bolts, ORU fine align from RMS with active orbiter jets)  "
68.0,USA,Carl Walz;Jim Newman;,STS-51 ,1993-09-16,7:05,Evaluate training vs. flight differences (DTO 1210).  Evaluated HST servicing mission tools.  Tool box door jammed temporarily preventing closure
69.0,USA,Story Musgrave;Jeff Hoffman;,STS-61 /    HST-1,1993-12-04,7:54,"HST servicing (RSU, ECU, solar array prep).  RSU bay doors difficult to close."
70.0,USA,Tom Akers;Kathy Thornton;,STS-61 /    HST-1,1993-12-05,6:36,HST servicing (2 solar arrays).   One jettisoned due to pre-EVA damage
71.0,USA,Story Musgrave;Jeff Hoffman;,STS-61 /    HST-1,1993-12-06,6:47,HST servicing (WFPC 1/2)
72.0,USA,Tom Akers;Kathy Thornton;,STS-61 /    HST-1,1993-12-07,6:50,HST servicing (HSP/COSTAR)
73.0,USA,Story Musgrave;Jeff Hoffman;,STS-61 /    HST-1,1993-12-08,7:21,"HST servicing (SADE, magnetometers, GHRS)"
74.0,USA,Mark Lee;Carl Meade;,STS-64 ,1994-09-16,6:51,"SAFER self rescue demo, test new tools"
75.0,USA,Mike Foale;Bernard Harris;,STS-63,1995-02-09,4:39,"Cold environment eval, large object handling eval using SPARTAN (EDFT-01)"
76.0,USA,Jim Voss;Mike Gernhardt;,STS-69,1995-09-16,6:46,ISS task board with worksite interface samples.  Elec cuff checklist demo.  Thermal cube experiment
86.0,USA,Winston Scott;Takao Doi;,STS-87,1997-11-24,7:43,Manual capture and berthing (with RMS aid) of Spartan.  Test of ISS crane with large battery/carrier.  Test of ISS power tool and torque multiplier
87.0,USA,Winston Scott;Takao Doi;,STS-87,1997-12-03,4:59,Test of ISS crane with small ORUÂs.  Deploy and capture of SPRINT/AERCAM robotic freeflyer
88.0,USA,Jerry Ross;Jim Newman;,STS-88/2A,1998-12-07,7:21,Connect PMA1-FGB power cables and PMA1/2-Node1 APAS cables
89.0,USA,Jerry Ross;Jim Newman;,STS-88/2A,1998-12-09,7:02,Install 2 early comm antennas and cables
90.0,USA,Jerry Ross;Jim Newman;,STS-88/2A,1998-12-12,6:59,"Deploy 2 US foot restraints and a tool stanchion.  Aid release of 2 FGB Toru antennas, install FGB aft handrail and reinstall FGB Komplast panel.  SAFER self rescue demo (DTO 689)"
91.0,USA,Tammy Jernigan;Dan Barry;,STS-96/2A.1,1999-05-29,7:55,"Transfer and externally install US and Russian cargo cranes, 2 common foot restraints, 3 EVA tool bags.  Lost retractable equip tether"
92.0,USA,Steve Smith;John Grunsfeld;,STS-103/       HST-3A,1999-12-22,8:15,HST servicing (RSU gyros and volt/temp improvement kits for batteries)
93.0,USA,Mike Foale;Claude Nicollier;,STS-103/       HST-3A,1999-12-23,8:10,HST servicing (486 computer and fine guidance sensor)
94.0,USA,Steve Smith;John Grunsfeld;,STS-103/       HST-3A,1999-12-24,8:08,HST servicing (transmitter and solid state recorder)
95.0,USA,Jeff Williams;Jim Voss;,STS-101/2A.2a,2000-05-21,6:44,Resecure and reorient U.S. crane.  Assemble complete Russian crane and transfer from PMA 2 to PMA 1.  Replace stbd ECOM antenna.  Install 8 handrails on Node 1 (APAS cable blocked one nominal site).  Cables cleared from Node 1 SVS targets. Lost PAD
96.0,USA,Edward Lu;Yuri Malenchecko;,STS-106/2A.2b,2000-09-11,6:14,"SM docking target deployment completed manually.  Attitude control magnetometer and nearby translation aid gap spanner installed.  SM-FGB cables routed, secured and connected (EPS, TV-C&DH and Orlan comm).   Photos captured of partially deployed SM solar array section to aid future resolution.  "
97.0,USA,Leroy Chiao;Bill McArthur;,STS-92/3A,2000-10-15,6:28,Z1 SASA antenna deployed.  DDCU thermal shrouds removed/stowed. One tool box relocated from PLB to Z1.  Z1-Node1 cables mated.  SGANT antenna dish and boom deployed.
98.0,USA,Jeff Wisoff;Mike Lopez-Alegria;,STS-92/3A,2000-10-16,7:07,PMA3 released from PLB.  PMA3-Node1 cables mated.  
99.0,USA,Leroy Chiao;Bill McArthur;,STS-92/3A,2000-10-17,6:48,Z1 DDCU-HP (2) transferred from PLB to Z1.  Z1 keel relocated.  Z1-P6 launch locks released.  PMA2-Z1 cables reconfigured.  2nd tool box relocated from PLB to Z1.  Airlock depress valve cover lost
100.0,USA,Jeff Wisoff;Mike Lopez-Alegria;,STS-92/3A,2000-10-18,6:56,Z1 FRGF stowed and utility tray deployed.  Tethered demo of self rescue SAFER hardware (DTO 689).
101.0,USA,Joe Tanner;Carlos Noriega;,STS-97/4A,2000-12-03,7:33,Assisted P6-Z1 mechanical mating.  Mated 9 Z1-P6 electrical power cables. Released 2 sets of solar array blanket boxes and gimbal linkages.  Used tensioning devices to secure 3 of 4 gimbal linkage bolts.  Released PV radiator launch restraints and thermal sensors.
102.0,USA,Joe Tanner;Carlos Noriega;,STS-97/4A,2000-12-05,6:37,Removed/stowed Z1's ACBSP and DDCU-HP thermal shrouds.  Relocated SASA antenna from Z1 to IEA.  Inspected tensioning mechanism of incompletely deployed solar array.  Rerouted Z1 patch panel cables.  Mated 4 Z1-P6 ammonia lines.  Disconnected PMA2 cables from Node1.  Stowed EPS cable bag on P6.  Released P6 aft radiator launch restraints and thermal sensors.  Installed FGB-PMA1 jumper cables.  Stowed Z1 WIS antenna #1.
103.0,USA,Joe Tanner;Carlos Noriega;,STS-97/4A,2000-12-07,5:10,Reseated solar array tensioning cable to allow full deployment.  Installed FPP antennas on IEA and Node1. Installed Node1 centerline camera cable.  Released P6 stbd radiator launch restraints and thermal sensors.  Stowed P6 and Z1 WIS antennas.
104.0,USA,Tom Jones;Bob Curbeam;,STS-98/5A,2001-02-10,7:34,Disconnect lab-Shuttle LTA heater cable.  Remove and stow lab module CBM cover.  Connect 4 ammonia lines and elec cables btw lab and Z1.   M3 QD leaked NH3 on crew to force bakeout cleanup
105.0,USA,Tom Jones;Bob Curbeam;,STS-98/5A,2001-02-12,6:50,"Connect lab-PMA2 APAS cables.  Install lab vent valve, trunnion pin covers, handrails, PDGF, VSC and window cover.  Wrong bolt heads on vent cover"
106.0,USA,Tom Jones;Bob Curbeam;,STS-98/5A,2001-02-14,5:25,Spare SASA antenna installed on Z1.  Demo of incapacitated crew rescue.
107.0,USA,Jim Voss;Susan Helms;,STS-102/5A.1,2001-03-10,8:56,Disconnected PMA3 from Node1 electrical cables.  Installed cradle on lab in prep for SSRMS and S0 truss.  Installed rigid umbilical.  Last 2 hours spent in airlock waiting on RMS install of MPLM.  PAD lost
108.0,USA,Paul Richards;Andy Thomas;,STS-102/5A.1,2001-03-12,6:21,"Removed and stowed port early comm antenna.  Installed the external stowage platform on a lab trunnion.  Transfered a pump flow control system ORU ready for future replacement.  Inspected P6 solar array 4 bar linkage, FPP, NPV and connector J612"
109.0,USA,Scott Parazynski;Chris Hadfield;,STS-100/6A,2001-04-22,7:10,"Transfered and installed UHF antenna on lab.  Released SSRMS launch restraints, unfold booms and secure joints.  Connected cables from lab to SSRMS pallet for initial robot arm ops"
110.0,USA,Scott Parazynski;Chris Hadfield;,STS-100/6A,2001-04-24,7:40,Connected 8 cables for lab based SSRMS ops.  Demated cables btw lab and SSRMS pallet.  Removed and stowed stbd early comm antenna.  1.5 hours spent in fruitless search for early comm conn parts under CBM cover.  Transfered spare DCSU to lab stowage pallet
111.0,USA,Mike Gernhardt;Jim Reilly;,STS-104/7A,2001-07-14,5:59,Shuttle based EVA.  Airlock-Node1 CBM cover removed.  LTA heater cable demated.  Waited on umbilicals for airlock transfer and install by SSRMS. Connected airlock heater cable. 
112.0,USA,Mike Gernhardt;Jim Reilly;,STS-104/7A,2001-07-17,6:29,Shuttle based EVA.  3 of 4 high pressure gas tanks installed on airlock
113.0,USA,Mike Gernhardt;Jim Reilly;,STS-104/7A,2001-07-20,4:02,First EVA based from ISS joint airlock.  4th high pressure gas tank installed.  Installed thermal cover over airlock FRGF and several airlock handrails.  Mated FGB-airlock cable for Russian suit comm.  Inspected BMRRM and FPP on top of P6.
114.0,USA,Dan Barry;Patrick Forrester;,STS-105/7A.1,2001-08-16,6:16,Shuttle based EVA.  Installed early ammonia servicer on P6 truss and mated its cables.  Attached 2 MISSE materials experiments to airlock exterior. 
115.0,USA,Dan Barry;Patrick Forrester;,STS-105/7A.1,2001-08-18,5:29,Shuttle based EVA.  Installed 10 handrails on Lab.  Attached LTA heater cables on lab for later use with S0.
116.0,USA,Linda Godwin;Dan Tani;,STS-108/UF1,2001-12-10,4:12,Shuttle based EVA.  Installed 2 beta gimbal assy (BGA) thermal blankets.  Retrieved SASA shroud.  Inspected DCSU.  Failed attempt to lock 4th leg of BGA four bar assembly.
117.0,USA,Carl Walz;Dan Bursch;,Incr-4,2002-02-20,5:49,"First use of the Quest airlock without Shuttle docked.  8A preps included tool retrieval/relocation, DDCU checkout, Z1 Shroud removal, Grapple Fixture Adapter removal, securing HPGT latches, photos of MISSE & MMOD hits.  "
118.0,USA,John Grunsfeld;Rick Linnehan;,STS-109/          HST-3B,2002-03-04,7:01,HST servicing.  Replaced 1 of 2 solar arrays and its diode box. 
119.0,USA,Jim Newman;Mike Massimino;,STS-109/          HST-3B,2002-03-05,7:16,HST servicing.  Replaced 2nd solar array and its diode box.   Replaced gyro reaction wheel assy #1.
120.0,USA,John Grunsfeld;Rick Linnehan;,STS-109/          HST-3B,2002-03-06,6:48,HST servicing.  Replaced power control unit (PCU).  HST handrails inspected.
121.0,USA,Jim Newman;Mike Massimino;,STS-109/          HST-3B,2002-03-07,7:30,HST servicing.  Replaced faint object camera (FOC) with advanced camera.  Installed electronics support module in aft shroud.  Completed PCU cleanup.
122.0,USA,John Grunsfeld;Rick Linnehan;,STS-109/          HST-3B,2002-03-08,7:20,HST servicing.  Installed NICMOS cryo cooler and radiator.   Installed new outer thermal blankets.  
123.0,USA,Steve Smith;Rex Walheim;,STS-110/8A,2002-04-11,7:48,ISS based EVA.  Lab-SO cables connected.  Aft tray req'd 2 crew to deploy.   Lab-S0 fwd struts installed.  
